통계표,계정항목,Mar-22,Apr-22,May-22,Jun-22
1.3.3.2.2. 예금은행 대출금리(잔액 기준),    가계대출 2),3.25,3.33,3.42,3.52
1.3.3.2.2. 예금은행 대출금리(잔액 기준),      주택담보대출,2.93,2.98,3.03,3.1
1.3.3.2.2. 예금은행 대출금리(잔액 기준),      보증대출,3.11,3.2,3.3,3.4
1.3.3.2.2. 예금은행 대출금리(잔액 기준),      일반신용대출 3),4.11,4.22,4.34,4.52
